Id,SleepDay,TotalMinutes_Asleep,TotalTime_In_Bed,Time_Awake
1503960366,4/12/2016,327,346,19
1503960366,4/13/2016,384,407,23
1503960366,4/15/2016,412,442,30
1503960366,4/16/2016,340,367,27
1503960366,4/17/2016,700,712,12
1503960366,4/19/2016,304,320,16
1503960366,4/20/2016,360,377,17
1503960366,4/21/2016,325,364,39
1503960366,4/23/2016,361,384,23
1503960366,4/24/2016,430,449,19
1503960366,4/25/2016,277,323,46
1503960366,4/26/2016,245,274,29
1503960366,4/28/2016,366,393,27
1503960366,4/29/2016,341,354,13
1503960366,4/30/2016,404,425,21
1503960366,5/1/2016,369,396,27
1503960366,5/2/2016,277,309,32
1503960366,5/3/2016,273,296,23
1503960366,5/5/2016,247,264,17
1503960366,5/6/2016,334,367,33
1503960366,5/7/2016,331,349,18
1503960366,5/8/2016,594,611,17
1503960366,5/9/2016,338,342,4
1503960366,5/10/2016,383,403,20
1503960366,5/11/2016,285,306,21
1644430081,4/29/2016,119,127,8
1644430081,4/30/2016,124,142,18
1644430081,5/2/2016,796,961,165
1644430081,5/8/2016,137,154,17
1844505072,4/15/2016,644,961,317
1844505072,4/30/2016,722,961,239
1844505072,5/1/2016,590,961,371
1927972279,4/12/2016,750,775,25
1927972279,4/13/2016,398,422,24
1927972279,4/15/2016,475,499,24
1927972279,4/26/2016,296,315,19
1927972279,4/28/2016,166,178,12
2026352035,4/12/2016,503,546,43
2026352035,4/13/2016,531,565,34
2026352035,4/14/2016,545,568,23
2026352035,4/15/2016,523,573,50
2026352035,4/16/2016,524,567,43
2026352035,4/17/2016,437,498,61
2026352035,4/19/2016,498,540,42
2026352035,4/20/2016,461,510,49
2026352035,4/21/2016,477,514,37
2026352035,4/22/2016,520,545,25
2026352035,4/23/2016,522,554,32
2026352035,4/24/2016,555,591,36
2026352035,4/25/2016,506,531,25
2026352035,4/27/2016,508,545,37
2026352035,4/28/2016,513,545,32
2026352035,4/29/2016,490,510,20
2026352035,4/30/2016,573,607,34
2026352035,5/1/2016,527,546,19
2026352035,5/2/2016,511,543,32
2026352035,5/4/2016,538,560,22
2026352035,5/5/2016,468,485,17
2026352035,5/6/2016,524,548,24
2026352035,5/7/2016,511,521,10
2026352035,5/8/2016,541,568,27
2026352035,5/9/2016,531,556,25
2026352035,5/10/2016,357,380,23
2026352035,5/11/2016,523,553,30
2026352035,5/12/2016,456,485,29
2320127002,4/23/2016,61,69,8
2347167796,4/13/2016,467,531,64
2347167796,4/14/2016,445,489,44
2347167796,4/15/2016,452,504,52
2347167796,4/17/2016,556,602,46
2347167796,4/18/2016,500,557,57
2347167796,4/19/2016,465,514,49
2347167796,4/21/2016,460,484,24
2347167796,4/22/2016,405,461,56
2347167796,4/23/2016,374,386,12
2347167796,4/24/2016,442,459,17
2347167796,4/25/2016,433,471,38
2347167796,4/26/2016,436,490,54
2347167796,4/27/2016,448,499,51
2347167796,4/28/2016,408,450,42
2347167796,4/29/2016,411,473,62
3977333714,4/12/2016,274,469,195
3977333714,4/13/2016,295,456,161
3977333714,4/14/2016,291,397,106
3977333714,4/15/2016,424,556,132
3977333714,4/16/2016,283,510,227
3977333714,4/17/2016,381,566,185
3977333714,4/18/2016,412,522,110
3977333714,4/19/2016,219,395,176
3977333714,4/20/2016,152,305,153
3977333714,4/21/2016,332,512,180
3977333714,4/22/2016,355,476,121
3977333714,4/23/2016,235,372,137
3977333714,4/24/2016,310,526,216
3977333714,4/25/2016,262,467,205
3977333714,4/26/2016,250,371,121
3977333714,4/27/2016,349,540,191
3977333714,4/28/2016,261,423,162
3977333714,4/29/2016,333,478,145
3977333714,4/30/2016,237,382,145
3977333714,5/1/2016,383,626,243
3977333714,5/2/2016,230,384,154
3977333714,5/3/2016,292,500,208
3977333714,5/4/2016,213,336,123
3977333714,5/5/2016,318,480,162
3977333714,5/6/2016,323,512,189
3977333714,5/7/2016,237,443,206
3977333714,5/8/2016,259,456,197
3977333714,5/10/2016,312,452,140
4020332650,4/12/2016,501,541,40
4020332650,4/16/2016,77,77,0
4020332650,5/3/2016,322,332,10
4020332650,5/4/2016,478,536,58
4020332650,5/5/2016,226,248,22
4020332650,5/6/2016,385,408,23
4020332650,5/8/2016,364,402,38
4020332650,5/10/2016,442,494,52
4319703577,4/14/2016,535,557,22
4319703577,4/15/2016,465,491,26
4319703577,4/16/2016,506,522,16
4319703577,4/18/2016,515,551,36
4319703577,4/19/2016,461,498,37
4319703577,4/20/2016,523,543,20
4319703577,4/21/2016,59,65,6
4319703577,4/22/2016,533,550,17
4319703577,4/23/2016,692,722,30
4319703577,4/24/2016,467,501,34
4319703577,4/25/2016,488,506,18
4319703577,4/26/2016,505,516,11
4319703577,4/27/2016,286,307,21
4319703577,4/28/2016,497,522,25
4319703577,4/29/2016,523,546,23
4319703577,4/30/2016,490,516,26
4319703577,5/1/2016,484,500,16
4319703577,5/2/2016,478,506,28
4319703577,5/3/2016,474,512,38
4319703577,5/6/2016,450,491,41
4319703577,5/7/2016,507,530,23
4319703577,5/8/2016,602,638,36
4319703577,5/9/2016,535,565,30
4319703577,5/10/2016,487,517,30
4319703577,5/11/2016,529,558,29
4319703577,5/12/2016,302,321,19
4388161847,4/15/2016,499,526,27
4388161847,4/16/2016,426,448,22
4388161847,4/17/2016,619,641,22
4388161847,4/18/2016,99,104,5
4388161847,4/19/2016,329,338,9
4388161847,4/20/2016,421,451,30
4388161847,4/21/2016,442,458,16
4388161847,4/22/2016,82,85,3
4388161847,4/23/2016,478,501,23
4388161847,4/24/2016,552,595,43
4388161847,4/26/2016,319,346,27
4388161847,4/27/2016,439,500,61
4388161847,4/28/2016,428,458,30
4388161847,4/30/2016,409,430,21
4388161847,5/1/2016,547,597,50
4388161847,5/2/2016,368,376,8
4388161847,5/4/2016,390,414,24
4388161847,5/5/2016,471,495,24
4388161847,5/5/2016,471,495,24
4388161847,5/7/2016,472,496,24
4388161847,5/8/2016,529,541,12
4388161847,5/9/2016,62,65,3
4388161847,5/10/2016,354,375,21
4388161847,5/11/2016,469,494,25
4445114986,4/12/2016,429,457,28
4445114986,4/13/2016,370,406,36
4445114986,4/14/2016,441,492,51
4445114986,4/15/2016,337,379,42
4445114986,4/16/2016,462,499,37
4445114986,4/17/2016,98,107,9
4445114986,4/19/2016,388,424,36
4445114986,4/20/2016,439,462,23
4445114986,4/21/2016,436,469,33
4445114986,4/22/2016,388,417,29
4445114986,4/25/2016,328,345,17
4445114986,4/26/2016,353,391,38
4445114986,4/27/2016,332,374,42
4445114986,4/28/2016,419,442,23
4445114986,4/29/2016,106,108,2
4445114986,4/30/2016,322,353,31
4445114986,5/1/2016,439,459,20
4445114986,5/2/2016,502,542,40
4445114986,5/3/2016,417,450,33
4445114986,5/4/2016,337,363,26
4445114986,5/5/2016,462,513,51
4445114986,5/6/2016,374,402,28
4445114986,5/7/2016,401,436,35
4445114986,5/8/2016,361,391,30
4445114986,5/9/2016,457,533,76
4445114986,5/10/2016,405,426,21
4445114986,5/11/2016,499,530,31
4445114986,5/12/2016,483,501,18
4558609924,4/21/2016,126,137,11
4558609924,4/26/2016,103,121,18
4558609924,4/29/2016,171,179,8
4558609924,5/1/2016,115,129,14
4558609924,5/8/2016,123,134,11
4702921684,4/12/2016,425,439,14
4702921684,4/13/2016,400,430,30
4702921684,4/14/2016,384,415,31
4702921684,4/15/2016,253,257,4
4702921684,4/16/2016,382,406,24
4702921684,4/17/2016,591,612,21
4702921684,4/18/2016,293,312,19
4702921684,4/19/2016,457,487,30
4702921684,4/20/2016,454,468,14
4702921684,4/21/2016,425,434,9
4702921684,4/23/2016,465,475,10
4702921684,4/24/2016,480,506,26
4702921684,4/25/2016,370,380,10
4702921684,4/26/2016,421,429,8
4702921684,4/27/2016,432,449,17
4702921684,4/28/2016,442,461,19
4702921684,4/29/2016,433,447,14
4702921684,4/30/2016,479,501,22
